__label__2,hi mike nelly happy see enjoy pls stay safe always love god bless
__label__1,im cravingone fav food phils karekare miss much
__label__2,san vicente becoming popular nowadays thank mike promoting country
__label__2,welcome back
__label__2,oh wow beautifully delicious parting meal siargao alltime favorite sinigang na baboy pork sinigangbrbri happy became treat head back manila something sinigang made province compared sinigang manila taste fresh different way brbri really hope everything would turn well journey back home prayer mike nelly brbrtake care god bless filipino love much
__label__2,hope guy win waygopro life
__label__2,big respect warrior sacrificing life safety freedom brbrhi sir hrefhttpwwwyoutubecomresultssearchquerymaxreactionmaxreactiona god bless road k subscriber
__label__2,congratz captain mike
__label__1,jollibee orlando opening soon brjacksonville brpinellas park brmiami brorlando brflorida total jollibee branch
__label__2,thank try soon
__label__2,becoming filipino dustin backpack mike successful medical operation ph
__label__1,puppy laundry wearing mask like phantom opera
__label__1,pls stay calm youre lucky youre manilawe love see safe good squad martin ave manila cant go lot policeman outisde strict plus curfew home quarantine manila make bored miss province want go manila allowed transportation
__label__1,rice cake puto bumbong palitaw basically flavorless flavor come accompaniment like butter grated coconut sesame seed coconut sugar rice used puto bumbong ang palitaw different impart different taste palate version ginataan called ginatang bilo bilo ball hence bilo bilo made rice flour type one used palitaw
__label__1,thats problem ph eat ice cream melt fast eat fast hihihi
__label__2,instagram make happen vlog
__label__1,e mail send info bro
__label__1,omg sayanggg pssed los baos
__label__1,yummy
__label__3,please kindly review mr philip aravit underrated singer hometown binangonan rizal thank
__label__2,nelly exquisite taste
__label__3,really want see ghost go manila bay
__label__2,happy birthday cuuz mike love ur personality nelly well keep godbless u bra hrefhttpwwwyoutubecomresultssearchquerymakingjuicyontheroadmakingjuicyontheroadabra hrefhttpwwwyoutubecomresultssearchquerymakeithappenmakeithappena
__label__1,big quotjquot house living legend
__label__3,hope rightin particular order tasted delicaciesbr suman dipped sugarbr cuchinta orange jelly like best dipped shredded coconutbr maja blancabr puto w cheese br bikobr colored small steamed putobr pichi pichi br sapin sapin layered colored steamed cakebr bibingkang latik burnt brown sugarbr ube de lechebrnote steamed cake puto best eaten shredded coconut brbri hope nailed show one love native delicacy
__label__2,love guy getting lost thought eating food hate fact im getting hungry reaction late night
__label__2,good luck business philippine
__label__1,watching frmacau
__label__2,hi nelly thank always happy positive video really make day better
__label__2,wow much food breakfast look good im sure handle rice breakfast maybe work run maybe
__label__2,stay happy stay healthygod bless
__label__2,troll jealous guy dont get affected
__label__2,always enjoying vlogsit give happiness everytime watch video
__label__2,felt sincerity mike contented gracefully happy miss gray
__label__1,park like coz would easier navigate afterbrlove watching guy hope see peanut adventure outside soon
__label__1,making happen making possible
__label__2,mabuhay enjoy balikbayan box
__label__2,nelly best ending vlog naughty nice time
__label__2,wow guy make craving timei love biryani well god bless always
__label__2,thanks australiamuch appreciatedenjoy filipino coffee
__label__2,love two accomodating beautiful people
__label__1,thing happened even youre experienced traveller glad made brgray deepest condolence bri like trolley
__label__3,hi mike nellyplease save alot patience driving philippine traffic really bad make traffic part daily life hehe
__label__2,enjoy maxthank sharing great videonow missing beloved hometown iloilo city lve
__label__2,youtube channel quotnellyslifequot search google stumbled upon blog site quotnellys lifequot guess facebook profile name searched youtube booom found hahaha right
__label__1,nakakaproud kinilabutan ako sa pasion puso tlga sa support ng mg pinoydi mtatawaran tlga
__label__1,dont allow devil steal joy good
__label__1,zubuchon went relocated assembly ground rise meter away original location
__label__3,cry nelly
__label__3,tagaytay bulalo karekare yummy also try kaldereta
__label__3,wish put description austrian dish screen
__label__1,ive bali much like instagrammable prefer country philippine come nature bali touristy enjoyed stay go back indonesia ill visit le travelled path
__label__1,good morning texas
__label__1,hi nelly tried going vacation trip without mike like know janina michelle dee etc
__label__1,make starter philippine bring europe filipino living ny make sourdough bread well might experiment making pandesal using little bit sourdough think might add another layer flavor pandesal
__label__3,mike know lot hiddenspeakeasy bar makati bgc let know want explore area im willing step sobriety show folk aroundbrbrnightlife life makati bgc show diff level party makati bgcbrbrcheers mate enjoy ph
__label__1,hallo mike br gulasch spaghetti aber prost und mahlzeit
__label__1,funny pronounce hayahay hey ya hey word hayahay mean refreshing fresh
__label__1,roger roxas story true make marcos bad guy
__label__2,wow nelly beautiful
__label__1,hello guy bstb time
__label__1,eating noodle spoon
__label__1,literallybicol express train routefrom tutuban station divisoria manila bicol
__label__2,wow super becoming pilot friendly sky country great congratulation power engagement greatly blessed
__label__2,awesome adventure go siquijor yet guy im envy guy haha
__label__2,really love ur videosmakes really happy also baby inside lol
__label__2,keep safe welcome back guy god bless
__label__2,aaaawwww love guy
__label__2,k sub dont know long thats
__label__2,hi mike nelly
__label__1,mcdonalds get crushed jollibee philippinesbrbrbrmemas malaki kasi pwet ni jollibee hahahah joking jollibee bigger butt joking
__label__1,letquots eatin tagalog kain tayoin bisaya mangaon ta
__label__2,better next time brother
__label__2,amazing house boat mike nelly one coolest video far
__label__2,happy independence day guy honestly literally marathon vlogs day eye tired im happy elated see love country philippine happy anniversary cozy place
__label__2,alaminos guy bolinao beautiful vlog btw stunning view youre planning go cebu sinulog sure meet finnsnow
__label__1,im binangonan rizal id place several time nice place
__label__1,craving batchoy nowyummy
__label__1,worldwide pandemic
__label__1,thats year spanish colonization
__label__3,would love see tipsy video
__label__1,yes yes yes
__label__3,consider look property bank offer half price nice house big garden property repossessed bank becpeople cannot pay anymore ouwner migrated country
__label__2,good job nelly
__label__2,hi mike nelly
__label__3,mike want yuo bissit go tandag surigao del sur many foreigner allso ara asan
__label__1,friendship never end
__label__2,glad back guy
__label__2,hrefhttpswwwyoutubecomwatchvqbqrjihmamptmsa girl really pretty
__label__1,worry reheating recooking pilipino food better consume day later esp fiesta dish
__label__1,
__label__1,welcome back wife
__label__2,looked really beautiful nelly think hair way styled
__label__1,traveled back time george lucy week ago haha
__label__1,sonyas garden
__label__2,always safe continue creating amazing vlog
__label__1,amazed lot positive feedback outside friend dont like using word foreigner thesea game yet pinoys even drag country false news amp unsubstantiated corruption accusation thank awesome reaction video subbed
__label__3,check philly philippine life angeles city check video
__label__2,sad ill going trip la casas sunday monday next week cant wait share tha amazing structure la casas
__label__1,wow
__label__1,dont know bought furniture end video used vlogging
__label__2,good job mike
__label__1,im diet per doctor order right im dying hahaha
__label__0,stop background music
__label__2,good choice stay home
__label__3,egg rice poridge
__label__1,beef protein
__label__2,hi mike nelly great vlog smiling watching vi nelly sweet mike funny btw whats camera using really good cam
__label__2,merry christmas mike amp nelly hope youre enjoying holiday away family like u ofw try make time enjoyable much keep making video amp enjoying watching time upload best holiday wish god bless
__label__2,hahaha facial expression hilarious
__label__1,know quothogpaanquot mean landing spot like bird perch old airport vicinity
__label__1,food dont feel satisfied eat nd meal
__label__1,way u sta cruz ca curious
__label__3,check price cebu pacific going batanes go guy go first ilocos norte ilocos sur
__label__3,try sinampalokang manok literally thats chicken tamarind soup mix different veggie surely love
__label__1,look good happy philippine adapting fusing food around world california filipino taco almost year
__label__1,im late
__label__2,guy best life environment view nice place nice beach nice people oh nothing say
__label__1,amazing older bros crly hair phenomenal listen rendition guitar gently weeps cover play guitar minding keyboard singing believe even texting big toe
__label__2,nice inspiring sir im fbi full blood igorot dont know much history keep learningthats saw videothanks
__label__1,never felt single regret ruled country kept promise yet there long way change rotting system government philippine
__label__2,yes encouragement youth parent thank bro nice comment
__label__1,good luck sa pag akyat thats step po nakkapatid hininga ned stop para lang mag rest makahinga hinga
__label__2,love seeing george lucy
__label__3,mike recreate filipino dish like see vid really delicious
__label__2,clickbait hahaha doesnt matter love watching video daily say nightly ritual
__label__2,nice one yes ur already celebrity
__label__2,oh cried laughing tho sorry flet nelly tried correct mike get spicier food one stay make worst brbrsee next vid stay awesome
__label__2,nice video presentation nelly brvenice grand canal mall beautiful mall philippine
__label__3,try breakfast style dumaguetenous tsokolate rice vico amp ripe mango dumaguete city
__label__3,spray anti bacterial spray wound get rid debris wipe gently surgical area look nice clean good job doctor nurse stitch staple wound messy end big scar
__label__2,okay love bgm used whats title song please help
__label__2,salamat another great adventour really amazing appreciate want see breathtaking beauty like paradise gave u idea go see wow vlogs pls bro mabuhay take care god bless
__label__2,im glad really love country
__label__2,look stunning guy
__label__2,good job guy made siargao happy k sub
__label__2,able see eclipse second cloudy thank mike featuring love
__label__1,soldier like shall always remembered philippine finest
__label__1,end termbrof course shall hope end war help u rise povedty
__label__2,congratulation mike new venture proud
__label__1,saw kind od windmill netherlands thousand windmill one place netherlandsand philippine
__label__1,mike get hint feel like honeymoon
__label__2,love place tooi definitely bring gf soooooonthanks vlog though
__label__3,hey guy another breakfast suggestion must try get good cheese ensaimada paired hot choco
__label__2,safe always guy
__label__2,reason watch follow vloggers want authenticity country want see real life experience dont want see good stuff want see guy experiencing country culture poeple general seeing bad day see guy coping really inspiring happy back comfort apartment thankful authenticity putting vlogs
__label__3,since countryplsss next time try learn language
